Код,Наименование,Категория,Махсулот,Размер,Ед изм,Модел булим
7571,XJ-3076-v2597,Бамбук-халат-большой-пуговица,Бордовый пуговица бамбук халат 3/4,44-54,шт,Bahor - Yoz
7573,XJ-3075-v2549,Бамбук-халат-большой-пуговица,Роза красный бамбук пуговица халат 3/4,44-54,шт,Kuz - Qish
7580,XJ-3075-v2545,Бамбук-халат-большой-пуговица,Бамбук роза пуговица халат 3/4,44-54,шт,Kuz - Qish
7581,XJ-3075-v2550,Бамбук-халат-большой-пуговица,Роза красный бамбук пуговица халат 3/4,44-54,шт,Kuz - Qish
7586,XJ-3075-v2553,Бамбук-халат-большой-пуговица,Роза оранжый пуговица бамбук халат 3/4,44-54,шт,Kuz - Qish
7606,XJ-3075-v2548,Бамбук-халат-большой-пуговица,Роза чёрный пуговица бамбук халат,44-54,шт,Kuz - Qish
7607,XJ-3075-v2405,Бамбук-халат-большой-пуговица,Роза красный бамбук халат,44-54,шт,Kuz - Qish
7608,XJ-3076-v2512,Бамбук-халат-большой-пуговица,Серый бамбук халат 3/4,44-54,шт,Kuz - Qish
7609,XJ-3075-v2546,Бамбук-халат-большой-пуговица,Роза красный бамбук халат 3/4,44-54,шт,Kuz - Qish
7610,XJ-3075-v2554,Бамбук-халат-большой-пуговица,Красный бамбук халат 3/4,44-54,шт,Kuz - Qish
7614,XJ-3075-v2542,Бамбук-халат-большой-пуговица,Красный бамбук халат 3/4,44-54,шт,Kuz - Qish
7615,XJ-3075-v2555,Бамбук-халат-большой-пуговица,Роза красный пуговица бамбук халат 3/4,44-54,шт,Bahor - Yoz
7620,XJ-3076-v2598,Бамбук-халат-большой-пуговица,Бордовый пуговица бамбук халат,44-54,шт,Kuz - Qish
7623,XJ-3075-v2362,Бамбук-халат-большой-пуговица,Т-серый пуговица бамбукб халат 3/4,44-54,шт,Kuz - Qish
7803,XJ-3076-v2362,Бамбук-халат-большой-пуговица,Серый пуговица бамбук халат 3/4,44-54,шт,Kuz - Qish
7921,XJ-3076-v2815,Бамбук-халат-большой-пуговица,Чёрный бамбук пуговица халат 3/4,44-54,шт,Kuz - Qish
8035,XJ-3075-v3072,Бамбук-халат-большой-пуговица,Красный бамбук халат 3/4,44-54,шт,Kuz - Qish
8051,xj-3075-v3070,Бамбук-халат-большой-пуговица,Желтый бамбук халат 3/4,44-54,шт,Kuz - Qish
8052,xj-3075-v3071,Бамбук-халат-большой-пуговица,Бамбук халат 3/4,44-54,шт,Kuz - Qish
8169,Xj-3075-v2639,Бамбук-халат-большой-пуговица,Чёрный бамбук халат,44-54,шт,Kuz - Qish
8170,Xj-3075-v3257,Бамбук-халат-большой-пуговица,Чёрный бамбук халат,44-54,шт,Kuz - Qish
8188,xj-3075-v3256,Бамбук-халат-большой-пуговица,Жёлтый бамбук халат 3/4,44-54,шт,Kuz - Qish
7488,PM-7000-v2316,Д/р пижама ёка мужской новогодный,Клетка красный с воротником пижама д/р,48-58,шт,Kuz - Qish
7489,PM-7000-v2317,Д/р пижама ёка мужской новогодный,Красный клетка с воротником пижама д/р,48-58,шт,Kuz - Qish
7848,PM-7000-v2868,Д/р пижама ёка мужской новогодный,Ёлка т-синий мужской с воротником пижама д/р,48-58,шт,Kuz - Qish
7719,PM-7004-v2428,Д/р пижама мужской новогодный,Т-синий мужской пижама д/р,48-58,шт,Kuz - Qish
7758,PM-7004-v2438,Д/р пижама мужской новогодный,Т-синий олень мужской новогодный пижама д/р,48-58,шт,Kuz - Qish
7785,PM-7006-v2766,Д/р пижама мужской новогодный,Олень т-синий мужской пижама д/р,46-56,шт,Kuz - Qish
7844,PM-7006-v2776,Д/р пижама мужской новогодный,Хеппий т-синий мужской пижама д/р,48-58,шт,Kuz - Qish
7846,PM-7006-v2906,Д/р пижама мужской новогодный,Т-синий мужской пижама д/р,48-58,шт,Kuz - Qish
7850,PM-7006-v2770,Д/р пижама мужской новогодный,Т-синий белив мужской пижама д/р,48-58,шт,Kuz - Qish
7889,PM-7006-v2782,Д/р пижама мужской новогодный,Т-синий мужской новогодный пижама д/р,48-58,шт,Kuz - Qish
7897,PM-7006-v2934,Д/р пижама мужской новогодный,Т-синий карман мужской пижама д/р,48-58,шт,Kuz - Qish
7917,PM-7006-v2947,Д/р пижама мужской новогодный,Медведь т-синий мужской пижама д/р,48-58,шт,Kuz - Qish
7924,PM-7006-v2950,Д/р пижама мужской новогодный,Т-синий ёлка мужской новогодный пижама д/р,48-58,шт,Kuz - Qish
7935,PM-7009-v2916,Д/р пижама мужской новогодный,Чёрный мужской пижама д/р,48-58,шт,Kuz - Qish
8027,PM-7006-v3014,Д/р пижама мужской новогодный,Т-синий мужской новоогодный пижама д/р,48-58,шт,Kuz - Qish
7407,Pj-1081-v2266,Д/р пижама новогодный,Пингвин красный пуговица пижама д/р,44-54,шт,Kuz - Qish
7851,PJ-1101-v2785,Д/р пижама новогодный,Красный пижама д/р,44-54,шт,Kuz - Qish
